Date,n_tit_subj_comm,n_tit_subj_score,n_tit_pol_comm,n_tit_pol_score,count
2011-06-12,0.0,0.0,0.0,0.0,1
2011-06-22,0.0,5.0,0.0,5.0,1
2012-01-23,0.0,0.9000000000000001,0.0,-0.14999999999999997,1
2012-02-15,0.0,5.916666666666667,0.0,-0.6979166666666667,1
2012-08-07,0.0,0.0,0.0,0.0,1
2012-08-12,0.0,1.0499999999999998,0.0,-0.44999999999999996,1
2012-12-08,0.0,0.0,0.0,0.0,1
2013-03-07,0.0,0.0,0.0,0.0,2
2013-03-21,0.0,0.0,0.0,0.0,1
2013-03-30,0.0,0.0,0.0,0.0,1
2013-04-10,2.946428571428571,7.660714285714286,1.5714285714285714,3.2857142857142856,2
2013-04-11,0.0,0.44999999999999996,0.0,0.15000000000000002,2
2013-04-14,0.0,0.0,0.0,0.0,1
2013-04-15,0.0,0.0,0.0,0.0,1
2013-05-01,0.44999999999999996,0.6,-0.15000000000000002,-0.2,1
2013-05-14,0.8888888888888888,9.11111111111111,0.4444444444444444,4.555555555555555,3
2013-05-16,0.0,0.0,0.0,0.0,1
2013-05-18,2.0222222222222226,7.222222222222223,-1.0888888888888892,-3.88888888888889,1
2013-06-25,0.0,0.0,0.0,0.0,2
2013-06-28,0.9166666666666666,5.0,0.875,4.375,2
2013-07-01,0.0,0.0,0.0,0.0,1
2013-07-09,0.0,1.2000000000000002,0.0,-1.2000000000000002,1
2013-07-13,0.0,0.0,0.0,0.0,1
2013-07-23,0.0,3.0,0.0,-0.5,1
2013-08-03,0.0,2.75,0.0,-2.75,1
2013-08-07,0.0,0.0,0.0,0.0,3
2013-08-08,0.30000000000000004,1.2000000000000002,0.2,0.8,1
2013-08-10,0.0,0.9000000000000001,0.0,0.6000000000000001,1
2013-08-12,0.0,0.0,0.0,0.0,2
2013-08-13,1.4545454545454548,1.4545454545454548,0.5363636363636364,0.5363636363636364,1
2013-08-16,0.0,0.0,0.0,0.0,1
2013-08-18,0.0,5.312499999999999,0.0,-1.25,1
2013-08-24,0.21666666666666665,1.0833333333333333,-0.04166666666666667,-0.20833333333333337,1
2013-08-28,0.0,0.0,0.0,0.0,1
2013-09-05,0.16666666666666666,1.8333333333333333,0.16666666666666666,1.8333333333333333,1
2013-09-06,0.0,0.0,0.0,0.0,1
2013-09-14,0.0,0.0,0.0,0.0,1
2013-09-24,0.0,2.4000000000000004,0.0,4.800000000000001,1
2013-10-02,0.0,0.5888888888888889,-0.03333333333333333,-0.8555555555555556,3
2013-10-03,0.0,0.0,0.0,0.0,1
2013-10-04,2.0,24.0,1.0,12.0,1
2013-10-06,0.0,3.125,0.0,0.0,2
2013-10-14,0.0,0.0,0.0,0.0,1
2013-10-16,0.0,1.6199999999999997,0.0,0.48,1
2013-10-21,0.5399999999999999,2.6999999999999997,0.16,0.8,1
2013-10-23,0.0,0.0,0.0,0.0,1
2013-10-25,0.4166666666666666,1.2499999999999998,0.19318181818181815,0.5795454545454545,1
2013-10-28,0.0,0.0,0.0,0.0,1
2013-11-05,0.5,1.5,-0.3333333333333333,-1.0,1
2013-11-06,0.8733333333333333,1.31,0.41,0.615,1
2013-11-08,0.0,1.3333333333333333,0.0,0.16666666666666666,3
2013-11-11,0.1,0.4,0.0,0.0,1
2013-11-12,9.179999999999998,41.57999999999999,2.72,12.32,1
2013-11-14,0.0,0.0,0.0,0.0,1
2013-11-18,5.444924242424242,9.533636363636361,1.6702272727272727,3.0640909090909094,4
2013-11-19,9.799999999999999,91.69999999999999,-5.6000000000000005,-52.400000000000006,1
2013-11-21,3.111111111111111,4.888888888888888,1.5833333333333333,3.0,3
2013-11-22,11.879999999999999,22.139999999999997,3.52,6.5600000000000005,1
2013-11-24,5.666666666666666,8.5,2.0,3.0,1
2013-11-26,0.0,5.733333333333333,0.0,1.7333333333333334,1
2013-11-27,1.8333333333333333,4.666666666666667,1.0999999999999999,2.8000000000000003,3
2013-11-28,0.0,0.0,0.0,0.0,1
2013-12-01,0.6666666666666666,1.5,0.0,0.0,3
2013-12-02,5.5,11.55,-3.5,-7.35,1
2013-12-03,40.67314814814815,88.31904761904762,11.94074074074074,25.37738095238095,2
2013-12-04,1.3,4.766666666666667,-0.5,-1.8333333333333333,1
2013-12-05,0.08333333333333333,0.16666666666666666,0.0,0.0,3
2013-12-06,0.0,0.0,0.0,0.0,2
2013-12-07,3.4666666666666672,4.2666666666666675,-1.5166666666666666,-1.8666666666666667,1
2013-12-10,0.0,0.0,0.0,0.0,1
2013-12-11,0.0,0.0,0.0,0.0,1
2013-12-12,12.711111111111114,28.166666666666668,-6.844444444444448,-15.166666666666673,2
2013-12-13,0.0,9.0,0.0,5.3999999999999995,1
2013-12-14,0.0,0.0,0.0,0.0,1
2013-12-16,0.0,0.0,0.0,0.0,1
2013-12-17,0.0,0.0,0.0,0.0,1
2013-12-18,0.0,0.2888888888888889,-0.0125,-0.3555555555555556,4
2013-12-23,6.25,17.75,3.0681818181818183,8.477272727272727,2
2013-12-24,0.5,5.0,0.13636363636363635,1.3636363636363635,1
2013-12-27,0.0,1.7333333333333334,0.0,-0.9333333333333337,1
2013-12-28,14.0,13.0,-14.0,-13.0,1
2014-01-02,0.0,1.1318181818181818,0.0,0.5045454545454545,1
2014-01-08,0.14444444444444446,0.7222222222222223,-0.0777777777777778,-0.38888888888888906,2
2014-01-16,0.0,4.333333333333333,0.0,3.25,1
2014-01-18,0.0,11.0,0.0,-5.5,1
2014-01-20,0.0,0.0,0.0,0.0,1
2014-01-21,0.0,0.0,0.0,0.0,2
2014-01-23,0.0,2.6,0.0,-1.0,3
2014-01-27,0.0,0.0,0.0,-0.016666666666666666,15
2014-01-28,0.0,0.0,0.0,0.0,2
2014-01-30,0.32196969696969696,1.2878787878787878,0.2215909090909091,0.8863636363636364,1
2014-02-06,0.0,0.0,0.0,0.0,2
2014-02-07,1.6666666666666667,4.166666666666667,0.20833333333333334,0.5208333333333334,3
2014-02-09,0.35,3.8499999999999996,0.0,0.0,1
2014-02-10,1.5,11.25,-0.25,-1.875,2
2014-02-11,0.0,0.0,0.0,0.0,1
2014-02-12,0.0,0.0,0.0,0.0,1
2014-02-13,5.0,20.0,0.0,0.0,1
2014-02-15,0.0,0.0,0.0,0.0,1
2014-02-16,0.0,0.0,0.0,0.0,1
2014-02-17,0.0,0.0,0.0,0.0,1
2014-02-19,0.3333333333333333,1.6666666666666665,0.25,1.25,1
2014-02-24,1.075,1.8875,3.225,4.9125,4
2014-02-25,0.4600000000000001,1.1550000000000002,0.07166666666666668,-0.07333333333333332,10
2014-02-26,0.9625,3.8799999999999994,-0.32916666666666666,-0.5458333333333333,6
2014-02-27,0.0,0.4375,0.0,-0.3125,3
2014-02-28,7.660416666666667,15.003125,1.4687499999999998,2.896875,4
2014-03-01,0.0,2.8888888888888893,0.0,-0.25277777777777777,2
2014-03-03,1.5,18.7,0.0,0.0,2
2014-03-04,8.303571428571429,14.839285714285714,-2.767857142857143,-4.946428571428571,4
2014-03-05,4.666666666666667,27.266666666666666,-2.3333333333333335,-13.633333333333333,6
2014-03-06,35.2,52.45714285714286,-0.24285714285714285,-0.5142857142857143,7
2014-03-07,0.11499999999999999,1.0850000000000002,-0.065,-0.014999999999999968,5
2014-03-10,0.0,1.2000000000000002,0.0,0.0,1
2014-03-11,0.375,2.1022727272727275,0.125,0.6931818181818181,2
2014-03-12,0.2272727272727273,0.6818181818181819,0.06818181818181818,0.20454545454545453,1
2014-03-17,0.0,0.0,0.0,0.0,1
2014-03-18,6.416666666666666,1.7499999999999998,-0.9166666666666667,-0.25,1
2014-03-25,2.475,2.475,1.575,1.575,2
2014-04-01,100.575,217.75,-78.95,-164.0,2
2014-04-14,0.0,0.0,0.0,0.0,1
2014-04-18,0.0,0.0,0.0,0.0,1
2014-04-21,0.0,1.6071428571428572,0.0,0.3214285714285714,1
2014-04-22,0.0,0.8,0.0,0.8,1
2014-04-27,1.3333333333333333,2.6666666666666665,1.0,2.0,1
2014-04-29,0.0,0.0,0.0,0.0,3
2014-05-04,52.0,70.0,0.0,0.0,1
2014-05-05,6.0,6.0,0.0,0.0,1
2014-05-06,79.0,125.0,0.0,0.0,1
2014-05-08,0.2,1.9000000000000001,0.0,0.0,1
2014-05-19,0.0,0.0,0.0,0.0,1
2014-05-28,0.0,0.0,0.0,0.0,1
2014-05-29,0.0,0.0,0.0,0.0,1
2014-06-04,1.3545454545454545,17.270454545454545,1.3363636363636364,17.038636363636364,1
2014-06-06,0.0,0.0,0.0,0.0,1
2014-06-09,0.75,0.75,0.8,0.8,1
2014-06-10,0.0,0.0,0.0,0.0,1
