"RT @pnd_master: Join our pump and dump session in 5 days! No membership no need to send bitcoin to us, it is free for all!Click the link��_","Sentiment(polarity=0.5, subjectivity=0.8)",7/9/19 9:54,,,,,,
"RT @Rhythmtrader: Bitcoin has been profitable 3777 days out of 3,837 days since creation (98.4%).You should have bought Bitcoin yesterday��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:54,,,,,,
@CalvinAyre @CalvinAyre why don�۪t you start spelling BitCoin the way all your deranged minions are; another good wa��_ https://t.co/hVWdOgI54h,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",7/9/19 9:54,,,,,,
RT @crypto: Bitmain co-founder Wu Jihan has marshaled a group of the mining giant�۪s former employees to launch a new cryptocurrency financi��_,"Sentiment(polarity=0.04545454545454545, subjectivity=0.48484848484848486)",7/9/19 9:54,,,,,,
"RT @VeryHash: 5th round free BTC hashrate giveaway starts! 5000TH/s in total!When bounty ends, make sure you purchase electricity fee in��_","Sentiment(polarity=0.2, subjectivity=0.7097222222222223)",7/9/19 9:54,,,,,,
"Owning #altcoins was a mistake. Own up to your mistakes and watch them crash &amp; burn. Never sell, just watch your ca��_ https://t.co/sy919QC99T","Sentiment(polarity=0.6, subjectivity=1.0)",7/9/19 9:54,,,,,,
"RT @_blockandchain_: Singapore reveals draft to remove tax on cryptocurrencies _�ӴThe draft contains a reference to digital token payments��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:54,,,,,,
"RT @Rhythmtrader: Deutsche Bank, last 20yrs:- $12+ billion in fines- 35 offences- Securities abuses- Tax violations- Investor protect��_","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",7/9/19 9:54,,,,,,
"RT @APompliano: Highly recommend reading @benmezrich�۪s Bitcoin Billionaires!You got to love a $100 bill burning on the cover of a story a��_","Sentiment(polarity=0.35, subjectivity=0.57)",7/9/19 9:54,,,,,,
@CryptoguideNo1 @niefrankowski A wczoraj kto�� rzekomo wyprowadzi�� z gie��dy 2x tyle btc po ataku hakerskim na binanc��_ https://t.co/IdtJRNf4Gd,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:54,,,,,,
RT @theanchor_io: Interesting to see whether other leading governments do the same and how that impacts the price and use of #bitcoin... ht��_,"Sentiment(polarity=0.125, subjectivity=0.3333333333333333)",7/9/19 9:54,,,,,,
"BitTorrent Founder Introduces 'Proof Of Space And Time'https://t.co/jYDrQp4WAr#Blockchain #Crypto #BTC #EOS��_ https://t.co/ia5mxR8QZR","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:54,,,,,,
"@Utoday_en @takeoff_tech @kingdom_bitcoin @abigail_pollak @akinyooyeoluwa2 hurry! join now! https://t.co/Z8j2yEKiso","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
RT @Rhythmtrader: Buying bitcoin is the new pension.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",7/9/19 9:56,,,,,,
Cientista minera Bitcoin em modelo de computador usado nas miss̵es Apollo https://t.co/U8Dc9cLxp4 https://t.co/mCgGcQuoSV,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"RT @coindesk: JUST IN: Bitcoin mining difficulty has grown faster in the last two weeks than in any period since August 2018, a sign that c��_","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",7/9/19 9:56,,,,,,
"RT @Crypto_Bitlord: -Stocks are selling off-Property is losing value-Gold is dumping -Governments are losing control And all the while��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
RT @XRP_Investor: Ripple XRP Looking to Over Run Bitcoin in Q3 And Q4 - Today's Gazette https://t.co/DD3hoDyAb4,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"ES1!, S&amp;P 500 E-mini H4: UP. - #ES1! TradingView https://t.co/ZTLsvXwNTC #fx #fxsignals #fxtrader #fxtrading #forex��_ https://t.co/1FTgEaq2w0","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"RT @AlexRiley85: To confirm I take this bag with me to all the BB's, is it satire? Here are some snaps. #bitcoins #bitcoin #bitcoinbagguy #��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
Liquidated my entire Bitcoin holdings making an enormous profit of ~ 30 GBP because I am a financial genius. Immedi��_ https://t.co/6ZSh8HEZxx,"Sentiment(polarity=0.0, subjectivity=0.5083333333333333)",7/9/19 9:56,,,,,,
"@nic__carter @matt_odell Literally the first thing I thought of when I saw that... New BTC ATH, suit from Bitcoin Bag Guy?","Sentiment(polarity=0.19318181818181818, subjectivity=0.3939393939393939)",7/9/19 9:56,,,,,,
Have you ever heard of Syscoin? #cryptocurrencies #btc #bitcoin #altcoins $btc,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"RT @_blockandchain_: I'll never buy again a shitcoinI'll never buy again a shitcoinI'll never buy again a shitcoinI'll never buy again a��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"Bitcoin was truly a currency without boundaries, powering and connecting a new global economy.","Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",7/9/19 9:56,,,,,,
"RT @coindesk: JUST IN: Bitcoin mining difficulty has grown faster in the last two weeks than in any period since August 2018, a sign that c��_","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",7/9/19 9:56,,,,,,
I bet you won't use my link to sign up and get full of bitcoin into your wallet. https://t.co/BNFPp8nIR9 #MoneyTap��_ https://t.co/np63QmVMXJ,"Sentiment(polarity=0.35, subjectivity=0.55)",7/9/19 9:56,,,,,,
"@Utoday_en @takeoff_tech @kingdom_bitcoin @abigail_pollak @akinyooyeoluwa2 hurry! join now! https://t.co/Z8j2yEKiso","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
RT @Rhythmtrader: Buying bitcoin is the new pension.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",7/9/19 9:56,,,,,,
Cientista minera Bitcoin em modelo de computador usado nas miss̵es Apollo https://t.co/U8Dc9cLxp4 https://t.co/mCgGcQuoSV,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"RT @coindesk: JUST IN: Bitcoin mining difficulty has grown faster in the last two weeks than in any period since August 2018, a sign that c��_","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",7/9/19 9:56,,,,,,
"RT @Crypto_Bitlord: -Stocks are selling off-Property is losing value-Gold is dumping -Governments are losing control And all the while��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
RT @XRP_Investor: Ripple XRP Looking to Over Run Bitcoin in Q3 And Q4 - Today's Gazette https://t.co/DD3hoDyAb4,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"ES1!, S&amp;P 500 E-mini H4: UP. - #ES1! TradingView https://t.co/ZTLsvXwNTC #fx #fxsignals #fxtrader #fxtrading #forex��_ https://t.co/1FTgEaq2w0","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
"RT @AlexRiley85: To confirm I take this bag with me to all the BB's, is it satire? Here are some snaps. #bitcoins #bitcoin #bitcoinbagguy #��_","Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
Liquidated my entire Bitcoin holdings making an enormous profit of ~ 30 GBP because I am a financial genius. Immedi��_ https://t.co/6ZSh8HEZxx,"Sentiment(polarity=0.0, subjectivity=0.5083333333333333)",7/9/19 9:56,,,,,,
"@nic__carter @matt_odell Literally the first thing I thought of when I saw that... New BTC ATH, suit from Bitcoin Bag Guy?","Sentiment(polarity=0.19318181818181818, subjectivity=0.3939393939393939)",7/9/19 9:56,,,,,,
Have you ever heard of Syscoin? #cryptocurrencies #btc #bitcoin #altcoins $btc,"Sentiment(polarity=0.0, subjectivity=0.0)",7/9/19 9:56,,,,,,
